produtos,CLAS,vencimento,ESTOQUE
PANO DE PRATO,,,
pano multiuso,,,
PAPEL A4,PCT,,0.0
PAPEL ALUMÍNIO,,,
PAPEL CONTACT,NULO,,0.0
PAPEL ESPECIAL ARTESANATO ,PCT,,3.0
PAPEL FOTOGRÁFICO  50 FLS,PCT,,40.0
PAPEL FOTOGRÁFICO 20 FLS,PCT,,8.0
PAPEL HIGIENICO,,,
PAPEL METAL 45 X 60,UND,,0.0
PAPEL TOALHA INTERFOLHAS ( MÃO ),,,
PASTA AZ,UND,,0.0
pasta azul para guardar documento ,NULO,,0.0
PASTA CARTÃO,UND,,25.0
PASTA CATÁLOGO,UND,,88.0
PASTA CATÁLOGO PLÁSTICO FINO 10,UND,,21.0
PASTA CATÁLOGO PLÁSTICO FINO 100,UND,,27.0
PASTA CATÁLOGO PLÁSTICO FINO 40,UND,,50.0
PASTA PLÁSTICO C/ELASTICO,NULO,,0.0
PASTA POLIONDA ,NULO,,0.0
PASTA SUSPENSA,UND,,550.0
PEDRA SANITARIA,,,
PERCEVEJOS,UND,,4.0
PERFUDOR DE PAPEL,UND,,28.0
perfurador de papel ,UND,,13.0
PILHA 9V,NULO,,0.0
PILHA AA  (COMUN),NULO,,0.0
PILHA AAA  (PALITO),NULO,,0.0
PILHA MÉDIA,NULO,,0.0
PINCEL,PCT,,2.0
PISTOLA COLA QUENTE GRANDE,UND,,12.0
PISTOLA COLA QUENTE PEQ.,UND,,12.0
PLÁSTICO FILME,,,
PORTA CANETA,UND,,0.0
PRANCHETA,NULO,,0.0
PREGADOR DE ROUPA,,,
PRENDEDOR DE PAPEL 19MM C/40,UND,,45.0
produtos ,clas.,,
produtos ,,,
protetor facial,,,
RECEITUÁRIO CONTROLE ESPECIAL,UND,,27.0
REGISTRO DE DOENÇA DIARRÉICAS,UND,,75.0
RÉGUA 30CM ,UND,,89.0
REQUISIÇÃO DE LABORATÓRIO MUNICIPAL,UND,,100.0
RESPIRADOR SEMIFACIAL CG306,UND,,0.0
RESSUCITADOR PULMONAR ADULTO,UND,,6.0
RODO 40CM,,,
RODO 60CM,,,
rodo para pia,,,
SABÃO EM BARRA,,,
SABÃO EM PÓ,,,
SABÃO LIQUIDO,,,
SABONETE EM BARRA,,,
SACO DE ALGODÃO (PANO DE CHAO),,,
SACO DE HAMBURQUER,,,
SACO DE LIXO  100lt,,,
SACO DE LIXO  110 lt,,,
SACO DE LIXO  200lt,,,
SACO DE LIXO 20lt,,,
SACO DE LIXO 40lt,,,
SACO DE LIXO HOSPITALAR 100L,PCT,,38.0
SACO DE LIXO HOSPITALAR 15L,UND,,27.0
SACO DE LIXO HOSPITALAR 30L,UND,,75.0
SCALP 18G,NULO,,0.0
SCALP 19G,NULO,,0.0
SCALP 21G,CX,,23.0
SCALP 23G,C,,33.0
SCALP 25G,CX,,15.0
SCALP 27G,CX,,11.0
"SERINGA 10 ml C/AGULHA 25x7,0",NULO,,0.0
"SERINGA 1ml C/ AGULHA 13x4,5",CX,,63.0
"SERINGA 2OML AGULHA 25X0,7",NULO,,0.0
SERINGA HIPODÉRMICA  3ML,CX,,457.0
SERINGA HIPODÉRMICA 10ML ,CX,,8.0
SERINGA HIPODÉRMICA 20ML,CX,,72.0
SERINGA HIPODERMICA 5ML,CX,,153.0
SERINGAS P/ INSULINA 1ml,CX,,54.0
SIST. VIGILÂNCIA ALIMENTAR E NUTRICIONAL,BLS,,25.0
SODA CAUSTICA ,,,
SOLUÇÃO DE GLICOSE 500ML ,UND,,768.0
"SOLUÇÃO FISIOLÓGICA ARBORETO 0,9% ",UND,,304.0
"SOLUÇÃO FISIOLÓGICA ARBORETO 0,9% ",,,
SONDA  ALIMENTAÇÃO ENTERAL N°12,NULO,,0.0
sonda de alívio número 18,UND,,30.0
SONDA DE ASPIRAÇÃO TRAQUEAL N°8 ,UND,,75.0
SONDA DE ASPIRAÇÃO TRAQUEAL S/ VÁLVULA,UND,,4.0
SONDA DE ENTERAL (AZUL FICA VERDE EXPOSTO AO GÁS ETO),UND,,50.0
SONDA DE FOLEY  N° 8 ,UND,,3.0
SONDA DE FOLEY T10,UND,,80.0
SONDA DE FOLEY T12,UND,,140.0
SONDA DE FOLEY T14,NULO,,0.0
SONDA DE FOLEY T16,UND,,420.0
SONDA DE FOLEY T18,UND,,280.0
SONDA DE FOLEY T20,UND,,194.0
SONDA DE NUTRIÇÃO ENTERAL N°10,UND,,64.0
SONDA DE NUTRIÇÃO ENTERAL N°12,UND,,208.0
SONDA DUPLA VIA N°10,UND,,55.0
SONDA DUPLA VIA N°12,UND,,90.0
SONDA ENDOTRAQUEAL N°4.0,UND,,15.0
